,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11133,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19716018.0,19716018.0,False,,1,,,,2024-06-24T12:33:00.000Z,61236.43342167316,26277141695.036255,229.2351,0.44722325,-4.77630479,-6.63455943,-11.46379269,-4.1587562,-13.63414099,1207338623597.5095,53.6573,1285965101855.14,,2024-06-24T12:33:00.000Z,,,,,,2024-06-24 14:34:42.290865
1,1027,Ethereum,ETH,ethereum,9079,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122275692.65424195,122275692.65424195,True,,2,,,,2024-06-24T12:32:00.000Z,3330.1510986823346,17326876920.54812,152.1825,0.45149697,-4.83432895,-5.35087676,-10.81644641,6.0302418,-8.593571,407196532234.6673,18.1069,407196532234.67,,2024-06-24T12:32:00.000Z,,,,,,2024-06-24 14:34:42.290865
2,825,Tether USDt,USDT,tether,89401,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112941691562.6963,116079124154.2452,True,,3,,,,2024-06-24T12:32:00.000Z,0.9997701521497816,53714016229.55493,124.7188,0.03052281,0.03446115,0.04968536,-0.02607672,0.00601372,-0.01919905,112915732157.69058,5.0211,116052443617.1,,2024-06-24T12:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-24 14:34:42.290865
3,1839,BNB,BNB,bnb,2186,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583569.3974072,147583569.3974072,False,,4,,,,2024-06-24T12:32:00.000Z,569.3754449952197,1776993024.726824,28.8328,0.38033575,-3.40548863,-4.75678127,-5.56352401,-6.4047258,-3.99829704,84030460499.63162,3.7345,84030460499.63,,2024-06-24T12:32:00.000Z,,,,,,2024-06-24 14:34:42.290865
4,5426,Solana,SOL,solana,690,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,462138515.0777776,578772291.7345016,True,,5,,,,2024-06-24T12:32:00.000Z,128.25169079564643,2371477540.6922545,229.52,1.60893142,-4.35012813,-10.44979897,-23.92790144,-11.98428428,-34.09607182,59270045940.51432,2.6356,74228525000.62,,2024-06-24T12:32:00.000Z,,,,,,2024-06-24 14:34:42.290865
5,3408,USDC,USDC,usd-coin,19855,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32718805145.21032,32718805145.21032,False,,6,,,,2024-06-24T12:32:00.000Z,1.0001407963535367,5400956233.373168,165.0177,0.01746151,0.01703249,0.01825049,0.00464302,0.0066526,0.01861105,32723411833.666843,1.4551,32723411833.67,,2024-06-24T12:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-24 14:34:42.290865
6,52,XRP,XRP,xrp,1342,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55618185850.0,99987512072.0,False,,7,,,,2024-06-24T12:33:00.000Z,0.4773743620963993,1061827906.6580074,167.4352,0.49532026,-1.73138241,-4.9398235,-11.1202388,-8.29024666,-25.83385699,26550695991.10273,1.1796,47737436209.64,,2024-06-24T12:33:00.000Z,,,,,,2024-06-24 14:34:42.290865
7,11419,Toncoin,TON,toncoin,432,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2458290273.5884438,5108041713.923841,True,,8,3414166606.0,25207079960.873905,,2024-06-24T12:32:00.000Z,7.383084327687875,399740003.2021844,78.5596,1.91116286,-4.15172161,-4.97517206,15.059772,40.37100366,41.76145614,18149764391.83838,0.8072,37713102723.25,,2024-06-24T12:32:00.000Z,,,,,,2024-06-24 14:34:42.290865
8,74,Dogecoin,DOGE,dogecoin,1010,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144840916383.70526,144840916383.70526,True,,9,,,,2024-06-24T12:33:00.000Z,0.1181957923958442,811995122.6003796,157.6635,1.28463664,-5.06475308,-11.87679872,-29.3601397,-21.44430461,-35.88270874,17119586883.312256,0.7614,17119586883.31,,2024-06-24T12:33:00.000Z,,,,,,2024-06-24 14:34:42.290865
9,2010,Cardano,ADA,cardano,1197,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35743185509.199,36994116264.584,False,,10,,,,2024-06-24T12:32:00.000Z,0.37533659365558536,295213284.7627312,22.4935,0.86088765,-3.03700682,-7.09653862,-18.64066273,-20.4620835,-44.43613678,13415725495.422432,0.5966,16890146714.5,,2024-06-24T12:32:00.000Z,,,,,,2024-06-24 14:34:42.290865
